admin_user_email,input_phrase,input_language,output_phrase,output_language,category
sanoop@rightsolutions.ae,Choline,FRENCH,Choline,ENGLISH,batch 1
sanoop@rightsolutions.ae,Bœuf salé,FRENCH,Corned Beef,ENGLISH,batch 1
sanoop@rightsolutions.ae,Carmin,FRENCH,Carmine,ENGLISH,batch 1
sanoop@rightsolutions.ae,Carmoisine,FRENCH,Carmoisine,ENGLISH,batch 1
sanoop@rightsolutions.ae,Lime séchée,FRENCH,Black Limes,ENGLISH,batch 1
sanoop@rightsolutions.ae,Muffin anglais,FRENCH,English Muffin,ENGLISH,batch 1
sanoop@rightsolutions.ae,"Decanol-1, Naturel",FRENCH,"1-Decanol, Natural",ENGLISH,batch 1
sanoop@rightsolutions.ae,Biscuits,FRENCH,Crackers,ENGLISH,batch 1
sanoop@rightsolutions.ae,Asperges,FRENCH,Asparagus,ENGLISH,batch 1
sanoop@rightsolutions.ae,Asparagine,FRENCH,Asparagine,ENGLISH,batch 1
sanoop@rightsolutions.ae,Pissenlit,FRENCH,Dandelion,ENGLISH,batch 1
sanoop@rightsolutions.ae,Chicorée,FRENCH,Chicory,ENGLISH,batch 1
sanoop@rightsolutions.ae,Carbamide,FRENCH,Carbamide,ENGLISH,batch 1
sanoop@rightsolutions.ae,Carbamide,FRENCH,Carbamide,ENGLISH,batch 1
sanoop@rightsolutions.ae,Enzymes,FRENCH,Enzymes,ENGLISH,batch 1
sanoop@rightsolutions.ae,Acrylate d'éthyle,FRENCH,Ethyl Acrylate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Ethyl Cellulose,FRENCH,Ethyl cellulose,ENGLISH,batch 1
sanoop@rightsolutions.ae,Ergostérol,FRENCH,Ergosterol,ENGLISH,batch 1
sanoop@rightsolutions.ae,Ergocalciférol,FRENCH,Ergocalciferol,ENGLISH,batch 1
sanoop@rightsolutions.ae,Érythrosine,FRENCH,Erythrosine,ENGLISH,batch 1
sanoop@rightsolutions.ae,Érythritol,FRENCH,Erythritol,ENGLISH,batch 1
sanoop@rightsolutions.ae,Additifs supplémentaires,FRENCH,Additional Additives,ENGLISH,batch 1
sanoop@rightsolutions.ae,Pectine amidée,FRENCH,Amidated Pectin,ENGLISH,batch 1
sanoop@rightsolutions.ae,Fumarate d'Ammonium,FRENCH,Ammonium Fumarate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Plus 100,FRENCH,100Plus,ENGLISH,batch 1
sanoop@rightsolutions.ae,Anglais,FRENCH,English,ENGLISH,batch 1
sanoop@rightsolutions.ae,Éthanol,FRENCH,Ethanol,ENGLISH,batch 1
sanoop@rightsolutions.ae,Absinthe,FRENCH,Absinthe,ENGLISH,batch 1
sanoop@rightsolutions.ae,Appletiseur,FRENCH,Appletiser,ENGLISH,batch 1
sanoop@rightsolutions.ae,Gélose danoise,FRENCH,Danish Agar,ENGLISH,batch 1
sanoop@rightsolutions.ae,Monoglycéride acétylé,FRENCH,Acetylated Monoglyceride,ENGLISH,batch 1
sanoop@rightsolutions.ae,Acides,FRENCH,Acids (),ENGLISH,batch 1
sanoop@rightsolutions.ae,Acides / Régulateurs d'acide,FRENCH,Acids / Acid Regulators (),ENGLISH,batch 1
sanoop@rightsolutions.ae,Ethyl lauroyle arginate,FRENCH,Ethyl lauroyl arginate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Base de chewing gum,FRENCH,Chewing Gum Base,ENGLISH,batch 1
sanoop@rightsolutions.ae,Astaxanthine,FRENCH,Astaxanthin,ENGLISH,batch 1
sanoop@rightsolutions.ae,Ascorbate de calcium,FRENCH,Calcium Ascorbate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Ascorbate de calcium,FRENCH,Calcium ascorbate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Noir carbone,FRENCH,Carbon Black,ENGLISH,batch 1
sanoop@rightsolutions.ae,Acétate de zinc,FRENCH,Zinc Acetate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Acétate de zinc,FRENCH,Zinc acetate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Acétate de cyclohexyle,FRENCH,Cyclohexyl Acetate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Acétate de calcium,FRENCH,Calcium acetate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Acétate de calcium,FRENCH,Calcium Acetate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Peroxyde d'acétone,FRENCH,Acetone Peroxide,ENGLISH,batch 1
sanoop@rightsolutions.ae,Acide alginique,FRENCH,Alginic Acid,ENGLISH,batch 1
sanoop@rightsolutions.ae,Acide alginique,FRENCH,Alginic acid,ENGLISH,batch 1
sanoop@rightsolutions.ae,Acides aminés,FRENCH,Amino Acids,ENGLISH,batch 1
sanoop@rightsolutions.ae,Phosphate acide de calcium,FRENCH,Acid Calcium Phosphate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Fingers au chocolat,FRENCH,Chocolate Finger,ENGLISH,batch 1
sanoop@rightsolutions.ae,Glutamate d'Ammonium,FRENCH,Ammonium Glutamate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Herbe balsamique,FRENCH,Balsam Herb,ENGLISH,batch 1
sanoop@rightsolutions.ae,Avocat,FRENCH,Avocado,ENGLISH,batch 1
sanoop@rightsolutions.ae,Cuisses de grenouilles,FRENCH,Frogs Legs,ENGLISH,batch 1
sanoop@rightsolutions.ae,Acroléine,FRENCH,Acrolein,ENGLISH,batch 1
sanoop@rightsolutions.ae,Oxyde de zinc,FRENCH,Zinc Oxide,ENGLISH,batch 1
sanoop@rightsolutions.ae,Oxyde de calcium,FRENCH,Calcium Oxide,ENGLISH,batch 1
sanoop@rightsolutions.ae,Oxyde de calcium,FRENCH,Calcium oxide,ENGLISH,batch 1
sanoop@rightsolutions.ae,Oxyhydrate d'éthyle,FRENCH,Ethyl Oxyhydrate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aldéhyde C-16,FRENCH,Aldehyde C-16,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aldéhyde benzoïque,FRENCH,Benzoic Aldehyde,ENGLISH,batch 1
sanoop@rightsolutions.ae,Alfabeto,FRENCH,Alfabeto,ENGLISH,batch 1
sanoop@rightsolutions.ae,Couleurs,FRENCH,Colors (),ENGLISH,batch 1
sanoop@rightsolutions.ae,Couleurs,FRENCH,Colors (),ENGLISH,batch 1
sanoop@rightsolutions.ae,Couleurs,FRENCH,Colours (),ENGLISH,batch 1
sanoop@rightsolutions.ae,Couleurs,FRENCH,Colours (),ENGLISH,batch 1
sanoop@rightsolutions.ae,Colorants artificiels,FRENCH,Artificial Colors (),ENGLISH,batch 1
sanoop@rightsolutions.ae,Colorants artificiels,FRENCH,Artificial Colours (),ENGLISH,batch 1
sanoop@rightsolutions.ae,Aluminium,FRENCH,Aluminum,ENGLISH,batch 1
sanoop@rightsolutions.ae,Fibre de racine de chicorée,FRENCH,Chicory Root Fiber,ENGLISH,batch 1
sanoop@rightsolutions.ae,Fibre de racine de chicorée,FRENCH,Chicory Root Fibre,ENGLISH,batch 1
sanoop@rightsolutions.ae,Fibre bêta d'orge,FRENCH,Barley Beta Fiber,ENGLISH,batch 1
sanoop@rightsolutions.ae,Fibre bêta d'orge,FRENCH,Barley Beta Fibre,ENGLISH,batch 1
sanoop@rightsolutions.ae,Fibre alimentaire,FRENCH,Dietary Fiber,ENGLISH,batch 1
sanoop@rightsolutions.ae,Fibre alimentaire,FRENCH,Dietary Fibre,ENGLISH,batch 1
sanoop@rightsolutions.ae,Fruit et fibre,FRENCH,Fruit'n Fibre,ENGLISH,batch 1
sanoop@rightsolutions.ae,Menthe-coq,FRENCH,Alecost,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aluminium - Aluminium,FRENCH,Aluminium,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aluminium,FRENCH,Aluminium,ENGLISH,batch 1
sanoop@rightsolutions.ae,Gaspareau,FRENCH,Alewife,ENGLISH,batch 1
sanoop@rightsolutions.ae,Sels de calcium d'acides gras,FRENCH,Calcium Salts of Fatty Acids,ENGLISH,batch 1
sanoop@rightsolutions.ae,Caséinates,FRENCH,Caseinates,ENGLISH,batch 1
sanoop@rightsolutions.ae,Amioca,FRENCH,Amioca,ENGLISH,batch 1
sanoop@rightsolutions.ae,Ananas séché,FRENCH,Dried Pineapple,ENGLISH,batch 1
sanoop@rightsolutions.ae,Anthranilate de cinnamyle,FRENCH,Cinnamyl Anthranilate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Tartrate mono et diglycéride d'acétyle,FRENCH,Acetyl Tartrate Mono- and Diglyceride,ENGLISH,batch 1
sanoop@rightsolutions.ae,Amylases,FRENCH,Amylases,ENGLISH,batch 1
sanoop@rightsolutions.ae,Anchois Européen,FRENCH,Europen Anchovy,ENGLISH,batch 1
sanoop@rightsolutions.ae,Anhydride adipique,FRENCH,Adipic Anhydride,ENGLISH,batch 1
sanoop@rightsolutions.ae,Feuilles de bardane,FRENCH,Burdock Leaves,ENGLISH,batch 1
sanoop@rightsolutions.ae,Feuille de curry,FRENCH,Curry Leaf,ENGLISH,batch 1
sanoop@rightsolutions.ae,Feuille de coriandre,FRENCH,Cilantro Leaf,ENGLISH,batch 1
sanoop@rightsolutions.ae,Feuilles de fenugrec séchées,FRENCH,Dried Fenugreek Leaves,ENGLISH,batch 1
sanoop@rightsolutions.ae,Oléate d'aluminium,FRENCH,Aluminium Oleate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aéro,FRENCH,Aero,ENGLISH,batch 1
sanoop@rightsolutions.ae,Isobutyrate de cinnamyle,FRENCH,Cinnamyl Isobutyrate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Isobutyrate d'éthyle,FRENCH,Ethyl Isobutyrate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Açai,FRENCH,Acai,ENGLISH,batch 1
sanoop@rightsolutions.ae,Ackee,FRENCH,Ackee,ENGLISH,batch 1
sanoop@rightsolutions.ae,Maquereau des Indes,FRENCH,Aila,ENGLISH,batch 1
sanoop@rightsolutions.ae,Papaye séchée,FRENCH,Dried Papaya,ENGLISH,batch 1
sanoop@rightsolutions.ae,Camomille,FRENCH,Camomile,ENGLISH,batch 1
sanoop@rightsolutions.ae,Camomille,FRENCH,Chamomile,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aubergine,FRENCH,Brinjal,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aubergine,FRENCH,Eggplant,ENGLISH,batch 1
sanoop@rightsolutions.ae,Butylparabène,FRENCH,Butylparaben,ENGLISH,batch 1
sanoop@rightsolutions.ae,Double Decker,FRENCH,Double Decker,ENGLISH,batch 1
sanoop@rightsolutions.ae,Pantothenate de calcium,FRENCH,Calcium Pantothenate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Pantothenate de calcium,FRENCH,Calcium Pantothenate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Bounty,FRENCH,Bounty,ENGLISH,batch 1
sanoop@rightsolutions.ae,Butyrate d'anisyle,FRENCH,Anisyl Butyrate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Graines de bardane,FRENCH,Burdock Seeds,ENGLISH,batch 1
sanoop@rightsolutions.ae,Graine d'aneth,FRENCH,Dill Seed,ENGLISH,batch 1
sanoop@rightsolutions.ae,Graine de chia,FRENCH,Chia Seed,ENGLISH,batch 1
sanoop@rightsolutions.ae,Graine de céleri,FRENCH,Celery Seed,ENGLISH,batch 1
sanoop@rightsolutions.ae,Graines de carambole,FRENCH,Carom Seeds,ENGLISH,batch 1
sanoop@rightsolutions.ae,Graine de cydonia,FRENCH,Cydonia Seed,ENGLISH,batch 1
sanoop@rightsolutions.ae,Graine de carvi,FRENCH,Caraway Seed,ENGLISH,batch 1
sanoop@rightsolutions.ae,Aloo paratha,FRENCH,Aloo Paratha,ENGLISH,batch 1
sanoop@rightsolutions.ae,Germes de soja,FRENCH,Bean Sprouts,ENGLISH,batch 1
sanoop@rightsolutions.ae,Choux de Bruxelles,FRENCH,Brussel Sprouts,ENGLISH,batch 1
sanoop@rightsolutions.ae,Choux de Bruxelles,FRENCH,Brussels Sprouts,ENGLISH,batch 1
sanoop@rightsolutions.ae,Eau-de-vie de fruits,FRENCH,Fruit Brandy,ENGLISH,batch 1
sanoop@rightsolutions.ae,Brandy snaps,FRENCH,Brandy Snaps,ENGLISH,batch 1
sanoop@rightsolutions.ae,Brownie au chocolat,FRENCH,Chocolate Brownie,ENGLISH,batch 1
sanoop@rightsolutions.ae,Orange sanguine,FRENCH,Blood Orange,ENGLISH,batch 1
sanoop@rightsolutions.ae,Burger de bœuf,FRENCH,Beefburger,ENGLISH,batch 1
sanoop@rightsolutions.ae,Luzerne,FRENCH,Alfalfa,ENGLISH,batch 1
sanoop@rightsolutions.ae,Boulgour,FRENCH,Bulgur Wheat,ENGLISH,batch 1
sanoop@rightsolutions.ae,Bière brute,FRENCH,Cask Ale,ENGLISH,batch 1
sanoop@rightsolutions.ae,Propionate de citronellyle,FRENCH,Citronellyl Propionate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Propionate de cyclohexyle,FRENCH,Cyclohexyl Propionate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Propionate de calcium,FRENCH,Calcium propionate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Propionate de calcium,FRENCH,Calcium Propionate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Propionate d'anisyle,FRENCH,Anisyl Propionate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Albumine,FRENCH,Albumin,ENGLISH,batch 1
sanoop@rightsolutions.ae,Protéines de lait,FRENCH,Milk proteins,ENGLISH,batch 1
sanoop@rightsolutions.ae,Brocoli,FRENCH,Broccoli,ENGLISH,batch 1
sanoop@rightsolutions.ae,Brocoli,FRENCH,Broccoli,ENGLISH,batch 1
sanoop@rightsolutions.ae,Bromate de calcium,FRENCH,Calcium Bromate,ENGLISH,batch 1
sanoop@rightsolutions.ae,Brem,FRENCH,Brem,ENGLISH,batch 1
sanoop@rightsolutions.ae,Biscuit,FRENCH,Biscuit,ENGLISH,batch 1
sanoop@rightsolutions.ae,Biscuit,FRENCH,Cookie,ENGLISH,batch 1
sanoop@rightsolutions.ae,Biscuit sec,FRENCH,Bath Oliver,ENGLISH,batch 1
sanoop@rightsolutions.ae,Biscuit battu,FRENCH,Beaten Biscuit,ENGLISH,batch 1
sanoop@rightsolutions.ae,Chocolat digestif,FRENCH,Chocolate Digestive,ENGLISH,batch 1
sanoop@rightsolutions.ae,Biscuit au chocolat,FRENCH,Chocolate Biscuit,ENGLISH,batch 1
sanoop@rightsolutions.ae,Pastirma,FRENCH,Basterma,ENGLISH,batch 1
sanoop@rightsolutions.ae,Pastirma,FRENCH,Basturma,ENGLISH,batch 1
sanoop@rightsolutions.ae,Ciboulette séchée,FRENCH,Dried Chives,ENGLISH,batch 1
sanoop@rightsolutions.ae,Cormes,FRENCH,Corms,ENGLISH,batch 1
sanoop@rightsolutions.ae,Canard de Bombay,FRENCH,Bombay Duck,ENGLISH,batch 1
sanoop@rightsolutions.ae,Canard,FRENCH,Duck,ENGLISH,batch 1
sanoop@rightsolutions.ae,Canard domestique,FRENCH,Domestic Duck,ENGLISH,batch 1
sanoop@rightsolutions.ae,Melon cantaloup,FRENCH,Cantaloupe Melon,ENGLISH,batch 1
sanoop@rightsolutions.ae,Melon amer,FRENCH,Bitter Melon,ENGLISH,batch 1
sanoop@rightsolutions.ae,After Eight,FRENCH,After Eight,ENGLISH,batch 1
sanoop@rightsolutions.ae,Cicely,FRENCH,Cicely,ENGLISH,batch 1
sanoop@rightsolutions.ae,Baklava,FRENCH,Baklava,ENGLISH,batch 1
sanoop@rightsolutions.ae,Moule bleue,FRENCH,Blue Mussel,ENGLISH,batch 1
sanoop@rightsolutions.ae,Baume,FRENCH,Balm,ENGLISH,batch 1
sanoop@rightsolutions.ae,Baume,FRENCH,Balsam,ENGLISH,batch 1
sanoop@rightsolutions.ae,Baume du Pérou,FRENCH,Balsam of Peru,ENGLISH,batch 1
sanoop@rightsolutions.ae,"Baume, citron",FRENCH,"Balm, Lemon",ENGLISH,batch 1
sanoop@rightsolutions.ae,Benzaldéhyde,FRENCH,Benzaldehyde,ENGLISH,batch 1
sanoop@rightsolutions.ae,Benzoate de calcium,FRENCH,Calcium Benzoate,ENGLISH,batch 1
