admin_user_email,,english_phrase,arabic_phrase,french_phrase
sanoop@rightsolutions.ae,,Cysteine,السيستين,Cystéine
sanoop@rightsolutions.ae,,Cysteine,السيستين,Cystéine
sanoop@rightsolutions.ae,,Dill,الشبت,Aneth
sanoop@rightsolutions.ae,,Dill and Its Derivatives,الشبت ومشتقاته,Aneth et ses dérivés
sanoop@rightsolutions.ae,,"Barley, Malted",الشعير، شراب,Orge maltée
sanoop@rightsolutions.ae,,Beetroot,الشمندر,Racine de betterave
sanoop@rightsolutions.ae,,Beet Red,الشمندر الأحمر,Rouge betterave
sanoop@rightsolutions.ae,,Beetroot Red - Betanin,الشمندر الأحمر - البيتانين,Betterave Rouge - Bétanine
sanoop@rightsolutions.ae,,Beet Greens,الشمندر الأخضر,Feuilles de betterave
sanoop@rightsolutions.ae,,"Beets, Dehydrated",الشمندر، مجفف,Betteraves déshydratées
sanoop@rightsolutions.ae,,Dark Chocolate Hobnobs,الشوكولاتة الداكنة هوبس نوبس,Hobnobs au chocolat noir
sanoop@rightsolutions.ae,,Dark Chocolate,الشوكولاته الداكنة,Chocolat noir
sanoop@rightsolutions.ae,,Energy kcal,الطاقة بالكيلو سعرة حرارية,Kcal d'énergie
sanoop@rightsolutions.ae,,Black Onyx,العقيق الأسود,Onyx noir
,,Deer,الغزال,Cerf
,,Chili,الفلفل الحار,Chili
,,Chili Pepper,الفلفل الحار,Piment
,,"Chili Pepper, Paprika",الفلفل الحار ، الفلفل الحلو,"Piment, Paprika"
,,"Chili Pepper, Cayenne Pepper",الفلفل الحار ، الفلفل حريف,"Piment, piment de cayenne"
,,"Chili Pepper, Habanero",الفلفل الحار ، هابانيرو,"Piment, Habanero"
,,"Chili Pepper, Jalapeno",الفلفل الحار ، هالابينو,"Piment, jalapeno"
,,"Chili Pepper, Tabasco Pepper",الفلفل الحار والفلفل الحار,"Piment, piment Tabasco"
,,Bell Pepper,الفلفل الحلو,Poivron
,,Bell Pepper,الفلفل الحلو,Poivron
,,Cherry Pepper,الفلفل الكرزي,Poivre cerise
,,Capsicum,الفليفلة,Poivron
,,Broad Beans,الفول,Fèves
,,Clove,القرنفل,Clou de girofle
,,Custard Apple,القشطة,Pomme à la crème
,,Cashew,الكاجو,Anacardier
,,Carrageenan,الكاراجينان,Carraghénane
,,Carrageenan,الكاراجينان,Carraghénane
,,Carotenes,الكاروتينات,Carotènes
,,Casein,الكازين,Caséine
,,Cocoa solids,الكاكاو,Solides de cacao
,,Calcium (Ca),الكالسيوم,Calcium (Ca)
,,"Calcium, Ca",الكالسيوم,"Calcium, Ca"
,,Calcium 5'-ribonucleotides,الكالسيوم 5'-ريبونوكليوتيدات,5'-ribonucléotides de calcium
,,Calcium 5'-ribonucleotides,الكالسيوم 5'-ريبونوكليوتيدات,5'-ribonucléotides de calcium
,,Calcium Saccharin,الكالسيوم السكرين,Saccharine de calcium
,,Calcium Inosinate,الكالسيوم إينوزينات,Inosinate de calcium
,,Canola,الكانولا,Canola
,,Caramel,الكراميل,Caramel
,,Caramel,الكراميل,Caramel
,,Caramelle,الكراميل,Caramelle
,,Caramel I,الكراميل ١,Caramel I
,,Caramel II,الكراميل ٢,Caramel II
,,Caramel III,الكراميل ٣,Caramel III
,,Caramel IV,الكراميل ٤,Caramel IV
,,"Carbohydrate, by difference",الكربوهيدرات ، عن طريق الفرق,"Glucides, par différence"
,,Curcumin,الكركمين,Curcumine
,,Curcumin,الكركمين,Curcumine
,,Cabbage,الكرنب,Chou
,,Cassava,الكسافا,Manioc
,,Chlorine,الكلور,Chlore
,,Chlorophyll,الكلوروفيل,Chlorophylle
,,Chlorophylls and Chlorophyllins,الكلوروفيل والكلوروفيلين,Chlorophylles
,,Amount,الكمية,Quantité
,,Amount per 100 grams,الكمية لكل 100جرام,Quantité par 100 grammes
,,Amount per 100 g,الكمية لكل 100جرام,Quantité par 100 g
,,Coca-Cola,الكوكا كولا,Coca Cola
,,Cola,الكولا,Cola
,,Collagen,الكولاجين,Collagène
,,Choline,الكولين,Choline
,,Corned Beef,اللحم البقري المحفوظ,Bœuf salé
,,Carmine,اللون القرمزي,Carmin
,,Carmoisine,اللون القرمزي,Carmoisine
,,Black Limes,الليمون الأسود,Lime séchée
,,English Muffin,المافن الإنجليزي,Muffin anglais
,,"1-Decanol, Natural",المعامل 504,"Decanol-1, Naturel"
,,Crackers,المقرمشات,Biscuits
,,Asparagus,الهليون,Asperges
,,Asparagine,الهليونين,Asparagine
,,Dandelion,الهندباء,Pissenlit
,,Chicory,الهندباء البرية,Chicorée
,,Carbamide,اليوريا,Carbamide
,,Carbamide,اليوريا,Carbamide
,,Enzymes,انزيمات,Enzymes
,,Ethyl Acrylate,إثيل أكريليت,Acrylate d'éthyle
,,Ethyl cellulose,إثيل سيليولوز,Ethyl Cellulose
,,Ergosterol,إرجوستيرول,Ergostérol
,,Ergocalciferol,إرغوكالسيفرول,Ergocalciférol
,,Erythrosine,إريتروسين (اللون الأحمر في بعض الصناعات الطبية),Érythrosine
,,Erythritol,إريثريتول (سكر من الطحالب),Érythritol
,,Additional Additives,إضافات إضافية,Additifs supplémentaires
,,Amidated Pectin,إضافات غذائية,Pectine amidée
,,Ammonium Fumarate,إضافات غذائية E368,Fumarate d'Ammonium
,,100Plus,إضافة,Plus 100
,,English,إنجليزي,Anglais
,,Ethanol,إيثانول,Éthanol
,,Absinthe,أبسينيت,Absinthe
,,Appletiser,أبلتايزر,Appletiseur
,,Danish Agar,أجار دنماركي,Gélose danoise
,,Acetylated Monoglyceride,أحادي الجليسورد بالأستيل,Monoglycéride acétylé
,,Acids (),أحماض,Acides
,,Acids / Acid Regulators (),أحماض/ منظم أحماض,Acides / Régulateurs d'acide
,,Ethyl lauroyl arginate,أرجينات لاوريول الأثيل,Ethyl lauroyle arginate
,,Chewing Gum Base,أساس العلكة,Base de chewing gum
,,Astaxanthin,أستازانتين,Astaxanthine
,,Calcium Ascorbate,أسكوربات الكالسيوم,Ascorbate de calcium
,,Calcium ascorbate,أسكوربات الكالسيوم,Ascorbate de calcium
,,Carbon Black,أسود فحمي,Noir carbone
,,Zinc Acetate,أسيتات الزنك,Acétate de zinc
,,Zinc acetate,أسيتات الزنك,Acétate de zinc
,,Cyclohexyl Acetate,أسيتات السيكلوهيكسل,Acétate de cyclohexyle
,,Calcium acetate,أسيتات الكالسيوم,Acétate de calcium
,,Calcium Acetate,أسيتات الكالسيوم,Acétate de calcium
,,Acetone Peroxide,أسيتون,Peroxyde d'acétone
,,Alginic Acid,أسيد الألجني,Acide alginique
,,Alginic acid,أسيد الألجني,Acide alginique
,,Amino Acids,أسيد أحادي البروتين,Acides aminés
,,Acid Calcium Phosphate,أسيد فوسفات الكالسيوم,Phosphate acide de calcium
,,Chocolate Finger,أصبع الشوكولاتة,Fingers au chocolat
,,Ammonium Glutamate,أضافات غذائية E624,Glutamate d'Ammonium
,,Balsam Herb,أعشاب البلسم,Herbe balsamique
,,Avocado,أفوكادو,Avocat
,,Frogs Legs,أقدام الضفدع,Cuisses de grenouilles
,,Acrolein,أكرولين، مركب طيار من الغيليسرين,Acroléine
,,Zinc Oxide,أكسيد الزنك,Oxyde de zinc
,,Calcium Oxide,أكسيد الكالسيوم,Oxyde de calcium
,,Calcium oxide,أكسيد الكالسيوم,Oxyde de calcium
,,Ethyl Oxyhydrate,أكسيهايدريت الأثيل,Oxyhydrate d'éthyle
,,Aldehyde C-16,ألداهايد سي-16,Aldéhyde C-16
,,Benzoic Aldehyde,ألدهايد البنزويك,Aldéhyde benzoïque
,,Alfabeto,ألفابيتو,Alfabeto
,,Colors (),ألوان (),Couleurs
,,Colors (),ألوان (),Couleurs
,,Colours (),ألوان (),Couleurs
,,Colours (),ألوان (),Couleurs
,,Artificial Colors (),ألوان صناعية,Colorants artificiels
,,Artificial Colours (),ألوان صناعية,Colorants artificiels
,,Aluminum,ألومونيوم,Aluminium
,,Chicory Root Fiber,ألياف جذر الهندباء,Fibre de racine de chicorée
,,Chicory Root Fibre,ألياف جذر الهندباء,Fibre de racine de chicorée
,,Barley Beta Fiber,ألياف شعير بيتا,Fibre bêta d'orge
,,Barley Beta Fibre,ألياف شعير بيتا,Fibre bêta d'orge
,,Dietary Fiber,ألياف غذائية,Fibre alimentaire
,,Dietary Fibre,ألياف غذائية,Fibre alimentaire
,,Fruit'n Fibre,ألياف وفاكهة,Fruit et fibre
,,Alecost,أليكوست,Menthe-coq
,,Aluminium,أليمونيوم,Aluminium - Aluminium
,,Aluminium,أليمونيوم,Aluminium
,,Alewife,أليوايف,Gaspareau
,,Calcium Salts of Fatty Acids,أملاح الكالسيوم من الأحماض الدهنية,Sels de calcium d'acides gras
,,Caseinates,أملاحه,Caséinates
,,Amioca,أميوكا,Amioca
,,Dried Pineapple,أنانس مجفف,Ananas séché
,,Cinnamyl Anthranilate,أنثرنيلات القرفة,Anthranilate de cinnamyle
,,Acetyl Tartrate Mono- and Diglyceride,أنزيم خل,Tartrate mono et diglycéride d'acétyle
,,Amylases,أنزيم سكري,Amylases
,,Europen Anchovy,أنشوجة أوروبية,Anchois Européen
,,Adipic Anhydride,أنهايدريد دهني,Anhydride adipique
,,Burdock Leaves,أوراق الأرقطيون,Feuilles de bardane
,,Curry Leaf,أوراق الكاري,Feuille de curry
,,Cilantro Leaf,أوراق الكزبرة,Feuille de coriandre
,,Dried Fenugreek Leaves,أوراق حلبة مجففة,Feuilles de fenugrec séchées
,,Aluminium Oleate,أوليات الألومونيوم,Oléate d'aluminium
,,Aero,أيرو,Aéro
,,Cinnamyl Isobutyrate,أيزوبوترايت القرفة,Isobutyrate de cinnamyle
,,Ethyl Isobutyrate,أيزوبوتيرات الأثيل,Isobutyrate d'éthyle
,,Acai,آساي,Açai
,,Ackee,آقية,Ackee
,,Aila,آيلا,Maquereau des Indes
,,Dried Papaya,بابايا مجففة,Papaye séchée
,,Camomile,بابونج,Camomille
,,Chamomile,بابونج,Camomille
,,Brinjal,باذنجان,Aubergine
,,Eggplant,باذنجان,Aubergine
,,Butylparaben,بارابين البوتيل,Butylparabène
,,Double Decker,باص بكابينتين,Double Decker
,,Calcium Pantothenate,بانتوثينات الكالسيوم,Pantothenate de calcium
,,Calcium Pantothenate,بانتوثينات الكالسيوم,Pantothenate de calcium
,,Bounty,باونتي / شوكولا باونتي,Bounty
,,Anisyl Butyrate,بترات اليانسون,Butyrate d'anisyle
,,Burdock Seeds,بذور الأرقطيون,Graines de bardane
,,Dill Seed,بذور الشبت,Graine d'aneth
,,Chia Seed,بذور الشيا,Graine de chia
,,Celery Seed,بذور الكرفس,Graine de céleri
,,Carom Seeds,بذور الينسون,Graines de carambole
,,Cydonia Seed,بذور سيدونيا,Graine de cydonia
,,Caraway Seed,بذور كراويا,Graine de carvi
,,Aloo Paratha,براتا محشوة,Aloo paratha
,,Bean Sprouts,براعم الفاصوليا,Germes de soja
,,Brussel Sprouts,براعم بروكسل,Choux de Bruxelles
,,Brussels Sprouts,براعم بروكسل,Choux de Bruxelles
,,Fruit Brandy,براندي الفاكهة,Eau-de-vie de fruits
,,Brandy Snaps,براندي سنابس,Brandy snaps
,,Chocolate Brownie,براوني الشوكولاتة,Brownie au chocolat
,,Blood Orange,برتقال أحمر / برتقال ماوردي,Orange sanguine
,,Beefburger,برجر لحم,Burger de bœuf
,,Alfalfa,برسيم حجازي,Luzerne
,,Bulgur Wheat,برغل القمح,Boulgour
,,Cask Ale,برميل مشروب الشعير,Bière brute
,,Citronellyl Propionate,بروبيونات السترونيل,Propionate de citronellyle
,,Cyclohexyl Propionate,بروبيونات السيكلوهكسيل,Propionate de cyclohexyle
,,Calcium propionate,بروبيونات الكالسيوم,Propionate de calcium
,,Calcium Propionate,بروبيونات الكالسيوم,Propionate de calcium
,,Anisyl Propionate,بروبيونات اليانسون,Propionate d'anisyle
,,Albumin,بروتين,Albumine
,,Milk proteins,بروتين الحليب,Protéines de lait
,,Broccoli,بروكلي,Brocoli
,,Broccoli,بروكلي,Brocoli
,,Calcium Bromate,بروميت الكالسيوم,Bromate de calcium
,,Brem,بريم,Brem
,,Biscuit,بسكوت,Biscuit
,,Cookie,بسكوت,Biscuit
,,Bath Oliver,بسكوت أوليفر,Biscuit sec
,,Beaten Biscuit,بسكوت بيتن,Biscuit battu
,,Chocolate Digestive,بسكوت دايجيستف بالشوكولاتة,Chocolat digestif
,,Chocolate Biscuit,بسكويت الشوكولاتة,Biscuit au chocolat
,,Basterma,بصطرمة,Pastirma
,,Basturma,بصطرمة,Pastirma
,,Dried Chives,بصل أخضر مجفف,Ciboulette séchée
,,Corms,بصيلة,Cormes
,,Bombay Duck,بط بومباي,Canard de Bombay
,,Duck,بطة,Canard
,,Domestic Duck,بطة محلية,Canard domestique
,,Cantaloupe Melon,بطيخ الشمام,Melon cantaloup
,,Bitter Melon,بطيخ مر,Melon amer
,,After Eight,بعد الثامنة,After Eight
,,Cicely,بقدونس إفرنجي,Cicely
,,Baklava,بقلاوة,Baklava
,,Blue Mussel,بلح البحر الأزرق,Moule bleue
,,Balm,بلسم,Baume
,,Balsam,بلسم,Baume
,,Balsam of Peru,بلسم من البيرو,Baume du Pérou
,,"Balm, Lemon",بلسم، ليمون,"Baume, citron"
,,Benzaldehyde,بنزألدهيد,Benzaldéhyde
,,Calcium Benzoate,بنزوات الكالسيوم,Benzoate de calcium
,,Calcium benzoate,بنزوات الكالسيوم,Benzoate de calcium
,,Benzoate of Soda,بنزيات الصودا,Benzoate de soda
,,Benzyl Propionate,بنزيل البروبيونات,Propionate de benzyle
,,Benzyl alcohol,بنزيل الكحول,Alcool benzoyle
,,Acesulfame Potassium,بوتاسيوم,Acésulfame de potassium
,,BHT ,بوتيل هيدروكسي تولوين,Hydroxytoluène butylé
,,Borax,بودرة البوراكس,Borax
,,Almond Powder,بودرة اللوز,Poudre d'amande
,,Dry Mango Powder,بودرة المانجو المجفف,Poudre de mangue séchée
,,Milk Powder,بودرة حليب,Lait en poudre
,,Apple Cider Vinegar Powder,بودرة خل روح التفاح,Poudre de vinaigre de cidre
,,Custard Powder,بودرة كاستردد,Poudre de crème
,,Amchoor,بودرة مانجو,Amasi
,,Amchoor Powder,بودرة مانجو,Amchur
,,Amchur,بودرة مانجو,Poudre d'amchur
,,Arrowroot Powder,بودرة نبات الطاعة / بودرة جذور الأروروت,Poudre de marante
,,Cabinet Pudding,بودينغ انجليزي,Pudding du chancelier
,,Eve's Pudding,بودينغ إيف,Pudding d'Ève
,,Black Pudding,بودينغ أسود,Boudin noir
,,Christmas Pudding,بودينغ عيد الميلاد,Pudding de Noël
,,Chocolate Bourbon,بوربون الشوكولاته,Chocolat bourbon
,,"Burnet, Salad",بورنت ، سلطة,Salad de burnet
,,Boza,بوظة,Boza
,,Calcium Polyphosphate,بولي فوسفات الكالسيوم,Polyphosphate de calcium
,,Egg Albumen,بياض البيض,Albumine d'œuf
,,Egg White,بياض البيض,Blanc d'œuf
,,Beta Carotene,بيتا كاروتين,Bêta-carotène
,,Beta-Carotene,بيتا كاروتين,Bêta-carotène
,,Betanin,بيتانين,Bétanine
,,Fruit Beer,بيرة الفاكهة,Bière aux fruits
,,Ale,بيرة محلاة,Ale
,,Bitter Ale,بيرة مرة,Bière amère
,,Burnet,بيرنت,Burnet
,,"Burnet, Garden",بيرنت ، حديقة,Jardin de burnet
,,"Burnet, Small",بيرنت ، صغير,Petit burnet
,,Calcium Pyrophosphate,بيروفسفات الكالسيوم,Pyrophosphate de calcium
,,Benzoyl Peroxide,بيروكسيد البنزويل,Péroxyde de benzoyle
,,Calcium Peroxide,بيروكسيد الكالسيوم,Peroxyde de calcium
,,BPA,بيسفينول A,Bisphénol A
,,Calcium Bisulfite,بيسلفيت الكالسيوم,Bisulfite de Calcium
,,Calcium Bisulphite,بيسلفيت الكالسيوم,Bisulfite de Calcium
,,Bison,بيسون,Bison
,,Egg,بيض,Œuf
,,Eggs,بيض,Œufs
,,Ammonium Bicarbonate,بيكاربونات الأمونيوم,Carbonate d'ammonium
,,Bicarbonate,بيكربونات,Bicarbonate
,,Bicarbonate of Soda,بيكربونات الصودا,Bicarbonate de soda
,,Bixin,بيكسين,Bixine
,,Baking Powder,بيكنج باودر,Levure
,,2-Pentanone,بينتانون,Pentanone-2
,,Custard Tart,تارت الكاسترد,Tarte à la crème
,,Bakewell Tart,تارت بيكويل / كعكة بيكويل,Tarte Bakewell
,,Chinese Date,تاريخ صيني,Date chinoise
,,Chocolate Truffle,ترافل الشوكولا,Truffe au chocolat
,,Cheon Sa Chae,تشون سا تشاي,Cheon Sa Chae
,,Cheerios,تشيريوس,Cheerios
,,Cheesecake,تشيز كيك,Gâteau au fromage
,,Chile,تشيلي,Chili
,,Chile Con Queso,تشيلي كون كويسو,Chili Con Queso
,,Crab Apple,تفاح حرجي,Pomme sauvage
,,Apple,تفاحة,Pomme
,,Average Composition,تكوينات تقريبية,Composition moyenne
,,Artificial Coloring (),تلوين صناعي,Colorant artificiel
,,Artificial Colouring (),تلوين صناعي,Colorant artificiel
,,Date,تمر,Date
,,Alligator,تمساح,Alligator
,,Crocodile,تمساح,Crocodile
,,Dates,تمور,Dates
,,Condiments,توابل,Condiments
,,Berbere,توابل البربري,Berebere
,,Blackberry,توت أسود,Mûre
,,Boysenberry,توت بويسينبيري,Mûre de Boysen
,,Chinese Bayberry,توت صيني,Bayberry chinois
,,Bullet Tuna,تونا بوليت,Bonitou
,,Dogfish,تونة,Chien de mer
,,Albacore,تونة الباكور,Thon blanc
,,Albacore Tuna,تونة الباكور,Thon blanc
,,Esccolar,تونة بيضاء,Esccolar
,,Dogtooth Tuna,تونة بيضة,Thon à dents de chien
,,Bigeye Tuna,تونة كبيرة العين,Thon obèse
,,Chlorine Dioxide,ثاني أكسيد الكلور,Dioxyde de chlore
,,Cheese Culture,ثقافة الجبن,Culture de fromage
,,Dry Ice,ثلج جاف,Glace carbonique
,,Double,ثنائي,Double
,,Calcium Diacetate,ثنائي الأسيتات الكالسيوم,Diacétate de calcium
,,Diacetyl,ثنائي الأسيتيل,Diacétyle
,,Bisphenol A,ثنائي الفينول أ,Bisphénol A
,,Biphenyl,ثنائي الفينيل,Biphényle
,,Acetylated Distarch Adipate,ثنائي النشا بالأستيل,Adipate de diamidon acétylé
,,Acetylated distarch adipate,ثنائي النشا بالأستيل,Adipate de diamidon acétylé
,,Acetylated Distarch Phosphate,ثنائي النشا بالأستيل مع الفوسفات,Phosphate de distarque acétylé
,,Acetylated distarch phosphate,ثنائي النشا بالأستيل مع الفوسفات,Phosphate de diamidon acétylé
,,Carbon dioxide,ثنائي أكسيد الكربون,Dioxide de carbone
,,Carbon Dioxide,ثنائي أكسيد الكربون,Dioxide de carbone
,,Acini di Pepe,ثنائي عنيبات,Acini di Pepe
,,Calcium Biphosphate,ثنائي فوسفات الكالسيوم,Biphosphate de calcium
,,American Bison,ثور أمريكي,Tarte aux pommes américaine
,,Domesticated Yak,ثور محلي,Yak domestiqué
,,Damson Gin,جِن دامسون,Damson Gin
,,Banbury Cake,جاتوه بانبيري,Gâteau Banbury
,,(Gamma)-Undecalactone,جاما أنديكالاكتون,(Gamma)-Undecalactone
,,(Gamma)-Octalactone,جاما أوكتالاكتون,(Gamma)-Octalactone
,,(Gamma)-Nonalactone,جاما نونالاكتون,(Gamma)-Nonalactone
,,Buffalo,جاموس,Buffle
,,Camembert,جبن الكممبير,Camembert
,,Shankleesh Cheese,جبنة الشنكليش,Fromage de Shankleesh
,,Shanklish Cheese,جبنة الشنكليش,Fromage de Shanklish
,,Shanklish Cheese,جبنة الشنكليش,Fromage de Shanklish
,,Shinklish Cheese,جبنة الشنكليش,Shinklish Cheese
,,Cheddar Cheese,جبنة الشيدر,Fromage cheddar
,,Cream Cheese,جبنة الكريمة,Fromage Frais
,,Edam,جبنة إيدام,Edam
,,Emmental Cheese,جبنة إيمينتال,Emmental
,,Emmentaler Cheese,جبنة إيمينتال,Emmental
,,American Cheese,جبنة أمريكية,Bison américain
,,Brie,جبنة بري,Brie
,,Baladi Cheese,جبنة بلدي,Fromage baladi
,,Chancliche Cheese,جبنة تشانكليش,Fromage de chancliche
,,Danish Blue Cheese,جبنة دنماركية,Fromage bleu danois
,,Blue Cheese,جبنة زرقاء,Fromage à pâte persillée
,,Blue Stilton,جبنة ستيلتون الزرقاء,Stilton bleu
,,Charkassiyea Cheese,جبنة شركسية,Fromage Charkassiyea
,,Cheddar Jack Cheese,جبنة شيدر جاك,Fromage cheddar jack
,,Cheshire Cheese,جبنة شيشاير,Fromage cheshire
,,Blue Cheshire,جبنة شيشاير الزرقاء,Cheshire bleu
,,Arab Cheese,جبنة عربية,Fromage arabe
,,Arabic Cheese,جبنة عربية,Fromage arabe
,,Cottage Cheese,جبنة قريش,Cottage cheese
,,Cadinene,جبنة كادينين,Cadinène
,,Caerphilly Cheese,جبنة كرفيلي,Fromage Caerphilly
,,Cotija Cheese,جبنة كوتيجا,Fromage Cotija
,,Colby Cheese,جبنة كولبي,Fromage Colby
,,Colby Jack Cheese,جبنة كولبي جالك,Fromage Colby Jack
,,Cabecou,جبنة ماعز كوبيكو,Cabecou
,,Shelal Cheese,جبنة مشللة,Fromage de Shelal
,,Cheese,جبنه,Fromage
,,Burdock Root,جذر الأرقطيون,Racine de bardane
,,Dandelion Root,جذر الهندباء,Racine de pissenlit
,,Burdock Root Tea,جذر شاي الأرقطيون,Thé à la racine de bardane
,,Crayfish,جراد البحر,Écrevisse
,,Energy Shot,جرعة طاقة,Energy Shot
,,Eruca,جرير,Eruca
,,Carrot,جزرة,Carotte
,,Cellulose Gel,جل السليلوز,Gel de cellulose
,,Black Tiger Shrimp,جمبري أسود عملاق,Crevette tigrée noire
,,Camel,جمل,Chameau
,,Alpaca,جمل جموب أمريكي,Alpaga
,,Milk Solids-Not-Fat,جوامد الحليب - باستثناء الدسم,Solide non gras du lait
,,Cashew Nut,جوز الكاجو,Noix de cajou
,,"Coconut, Desiccated",جوز الهند، مقطع,"Noix de coco, desséchée"
,,Coconut,جوز هند,Noix de coco
,,Dried coconut,جوز هند مجفف,Noix de coco séchée
,,Dutch Gin,جين ألماني,Gin néerlandais
,,Sharp,حاد,Tranchant
,,Extra Sharp,حاد جداً,Extra Sharp
,,Aconitic Acid,حامض الأكونتيك,Acide aconotique
,,Anise Seed,حب اليانسون,Graine d'anis
,,Cocoa kernels,حبات الكاكاو,Graines de cacao
,,Cuttlefish,"حبار
",Seiche
,,Corn Grain,حبة الذرة,Grain de maïs
,,Corn Grains,حبوب الذرة,Grains de maïs
,,Coffee Bean,حبوب القهوة,Grain de café
,,Cacao bean,حبوب الكاكاو,Fève de cacao
,,Cocoa bean,حبوب الكاكاو,Fève de cacao
,,All-Bran,حبوب فطور أول- بران,Son de blé
,,All-Bran Buds,حبوب فطور أول- بران,Bourgeons de son
,,Durum Granular,حبيبات القمح الصلب,Granule de blé dur
,,Earth Apple,حرشف القدس,Pomme de terre
,,Burn,حرق,Burn
,,Dill Weed,حشائش الشبت,Aneth
,,Bread Pudding,حشوة الخبز,Pudding au pain
,,Agar,حشيش صيني,Gélose
,,Escargot,حلزون,Escargot
,,Angel Delight,حلوى اسفنجية خالية من صفار البيض,Délice d'ange
